rowLabel	maxf0	minf0	excursion_size	meanf0	finalf0	mean_intensity	duration	max_velocity	final_velocity	maxf0_loc_ms	maxf0_loc_ratio	minf0_loc_ms	minf0_loc_ratio
te	242.8380045686387	235.93396401342193	0.4993332719035699	240.31688851532894	249.762697713045	65.90369265177989	90.00000000000009	-10.684831034969733	-10.684831034969726	0	0	90.00000000000009	1
χi	260.6127980490303	228.44608219885686	2.2806507837217858	240.39159424511826	266.5127262996283	64.88278688823911	106.00302171776599	-41.933270533149624	-40.103565313447504	70.12088116419723	0.6614988896344363	106.00302171776599	1
mu	228.44608219885686	180.9830728568995	4.031987170490947	210.96364453206542	180.6966520731867	69.21858596586364	134.1044923420911	50.2074916967868	18.506691562061306	0	0	104.97629653737384	0.7827947796825979
kø	245.2859874154318	199.40102523654465	3.585503893740679	215.64773106554233	200.80496067515094	66.02349540622623	158.11126026677934	50.2074916967868	-21.497127534962104	58.03018406804128	0.36702119741584255	158.11126026677934	1
pɛj	200.06819586084814	184.5221503358311	1.400374022235832	192.20017338491638	189.85412283049683	67.59982109901227	191.78122567336354	12.451313087819916	-9.727582655025996	52.86805350482049	0.27566855576814325	191.78122567336354	1
sɛ	247.32598815804874	183.36483712434168	5.180362000806618	229.82539793205854	244.42849609832572	63.5673215580979	288.9623574890969	-81.99207865094155	-42.62915646569306	224.85593189485442	0.7781495619315698	3.9722652645985956	0.01374665302122778
ɛm	219.94754389731918	146.15966886104582	7.075370647017827	160.15142817750754	149.78072030972533	68.58048416901559	191.42222341891735	-81.99207865094155	-16.911973834783343	0	0	191.42222341891735	1
di	146.15966886104582	120.97984477906856	3.273342668851316	131.19886727937507	130.34437080574654	62.87083541232505	189.61541909198564	96.6074623931223	96.21808606087232	0	0	189.61541909198564	1
ʃu	336.1967523631688	267.72966155048505	3.942345665653015	286.81760780287146	282.33524391661393	63.808742947551934	140.00000000000057	87.72820964367595	-32.18540644288438	0	0	140.00000000000057	1
mɛn	271.4855405442637	210.5629282084756	4.399486849782921	258.48382375111925	254.4390569139726	72.26436687387601	200.00000000000108	-89.80239831840127	-85.0721198955954	142.13514843445728	0.7106757421722826	200.00000000000108	1
