Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl
Mustafa (L),3.321820112,3.369066056,l,3.217485322,3.424575945,تىلى,2.8187,7.8175,ئۇيغۇر تىلى گۈزەل ??? بىر تىل ناھايىتى مول باي بىر تىل,consonant,3.367,3.401,1,2,2,1,0
Mustafa (L),3.732642501,3.822814437,y,3.697202274,4.063009402,گۈزەل,2.8187,7.8175,ئۇيغۇر تىلى گۈزەل ??? بىر تىل ناھايىتى مول باي بىر تىل,vowel,3.734,3.767,0,2,1,0,0
Mustafa (L),5.3987,5.497589715,o,5.2387,5.7487,مول,2.8187,7.8175,ئۇيغۇر تىلى گۈزەل ??? بىر تىل ناھايىتى مول باي بىر تىل,vowel,5.4,5.434,1,1,1,0,1
Mustafa (L),7.0587,7.1587,a,7.0087,7.252988252,باي,2.8187,7.8175,ئۇيغۇر تىلى گۈزەل ??? بىر تىل ناھايىتى مول باي بىر تىل,vowel,7.067,7.101,1,1,1,0,1
Mustafa (L),93.752,93.782,r,93.612,93.912,ئازراق,92.39264521,95.82959789,ئەمدى گىرامماتىكىسى بەلكى ئازراق تەس بىر تىل بولىشى مۇمكىن مۇمكىن,consonant,93.767,93.8,1,2,1,1,1
Mustafa (L),100.3353,100.5713074,ŋ,99.9653,100.5713074,قاراڭ,99.58587283,104.7452884,لېكىن قاراڭ سىز ئۆيدىن چىقتىڭىز ما ھازىر مانا شۇ رەسمىي ئۆزىڭىزنىڭ ئانا تىلىدەك سۆزلەيسىزدە,consonant,100.534,100.567,1,2,2,0,1
Mustafa (L),100.8953,100.9453,d,100.8353,101.0853,ئۆيدىن,99.58587283,104.7452884,لېكىن قاراڭ سىز ئۆيدىن چىقتىڭىز ما ھازىر مانا شۇ رەسمىي ئۆزىڭىزنىڭ ئانا تىلىدەك سۆزلەيسىزدە,consonant,100.934,100.967,1,2,2,1,1
Mustafa (L),101.7253,101.8153,a,101.6853,101.9553,ھازىر ,99.58587283,104.7452884,لېكىن قاراڭ سىز ئۆيدىن چىقتىڭىز ما ھازىر مانا شۇ رەسمىي ئۆزىڭىزنىڭ ئانا تىلىدەك سۆزلەيسىزدە,vowel,101.734,101.767,0,2,1,0,0
Mustafa (L),102.3553,102.3953,r,102.3553,102.7453,رەسمىي,99.58587283,104.7452884,لېكىن قاراڭ سىز ئۆيدىن چىقتىڭىز ما ھازىر مانا شۇ رەسمىي ئۆزىڭىزنىڭ ئانا تىلىدەك سۆزلەيسىزدە,consonant,102.367,102.4,0,2,1,1,1
Mustafa (L),102.4753,102.6553,s,102.3553,102.7453,رەسمىي,99.58587283,104.7452884,لېكىن قاراڭ سىز ئۆيدىن چىقتىڭىز ما ھازىر مانا شۇ رەسمىي ئۆزىڭىزنىڭ ئانا تىلىدەك سۆزلەيسىزدە,consonant,102.634,102.667,0,2,1,0,1
Mustafa (L),103.1353,103.2053,z,103.0553,103.4653,ئۆزىڭىزنىڭ,99.58587283,104.7452884,لېكىن قاراڭ سىز ئۆيدىن چىقتىڭىز ما ھازىر مانا شۇ رەسمىي ئۆزىڭىزنىڭ ئانا تىلىدەك سۆزلەيسىزدە,consonant,103.167,103.201,0,4,2,1,1
Mustafa (L),106.2159,106.2859,i,106.1859,106.9259,تىرىشسىلا,105.3258037,109.9621,ئەگەر ئادەم دېمەك تىرىشسىلا ئەمدى ئەلۋەتتە ئۇنىڭغىمۇ تىل دېگەنگە بىر تالانت كېتىدۇ,vowel,106.266,106.3,0,4,1,0,0
Mustafa (L),107.7859,107.8159,w,107.6659,107.9859,ئەلۋەتتە,105.3258037,109.9621,ئەگەر ئادەم دېمەك تىرىشسىلا ئەمدى ئەلۋەتتە ئۇنىڭغىمۇ تىل دېگەنگە بىر تالانت كېتىدۇ,consonant,107.8,107.833,0,3,2,1,1
Mustafa (L),108.2959,108.3759,t,108.2959,108.4459,تىل,105.3258037,109.9621,ئەگەر ئادەم دېمەك تىرىشسىلا ئەمدى ئەلۋەتتە ئۇنىڭغىمۇ تىل دېگەنگە بىر تالانت كېتىدۇ,consonant,108.3,108.333,1,1,1,1,1
Mustafa (L),110.9721,111.0021,i,110.9121,111.0721,بىر,110.1321,113.0721901,ئۇ تالانتمۇ مۇھىم بىر نەرسە ئاندىن تىرىشچانلىقمۇ بەك مۇھىم,vowel,111,111.033,1,1,1,0,1
Mustafa (L),111.7921,112.0521,,111.7921,112.0521,,110.1321,113.0721901,ئۇ تالانتمۇ مۇھىم بىر نەرسە ئاندىن تىرىشچانلىقمۇ بەك مۇھىم,consonant,112.033,112.066,,,,,
Mustafa (L),113.0721,117.053,,113.0721,117.053,,110.1321,113.0721901,ئۇ تالانتمۇ مۇھىم بىر نەرسە ئاندىن تىرىشچانلىقمۇ بەك مۇھىم,consonant,116.566,116.6,,,,,
Mustafa (L),113.0721,117.053,,113.0721,117.053,,110.1321,113.0721901,ئۇ تالانتمۇ مۇھىم بىر نەرسە ئاندىن تىرىشچانلىقمۇ بەك مۇھىم,consonant,116.733,116.766,,,,,
Mustafa (L),113.0721,117.053,,113.0721,117.053,,110.1321,113.0721901,ئۇ تالانتمۇ مۇھىم بىر نەرسە ئاندىن تىرىشچانلىقمۇ بەك مۇھىم,consonant,117,117.033,,,,,
Mustafa (L),117.053,117.193,t͡ʃ,117.053,117.413,چوقۇم,117.053,118.7030465,چوقۇم ئۆگىنىمەنغۇ دەپ ھە,consonant,117.166,117.2,0,2,1,1,0
Mustafa (L),117.353,117.413,m,117.053,117.413,چوقۇم,117.053,118.7030465,چوقۇم ئۆگىنىمەنغۇ دەپ ھە,consonant,117.366,117.4,1,2,2,0,1
Mustafa (L),117.6253741,117.793,ø,117.6253741,118.322488,ئۆگىنىمەنغۇ,117.053,118.7030465,چوقۇم ئۆگىنىمەنغۇ دەپ ھە,vowel,117.666,117.7,0,5,1,0,0
Mustafa (L),117.823,117.853,i,117.6253741,118.322488,ئۆگىنىمەنغۇ,117.053,118.7030465,چوقۇم ئۆگىنىمەنغۇ دەپ ھە,vowel,117.833,117.866,0,5,3,0,0
Mustafa (L),117.953,118.043,ɛ,117.6253741,118.322488,ئۆگىنىمەنغۇ,117.053,118.7030465,چوقۇم ئۆگىنىمەنغۇ دەپ ھە,consonant,117.966,118,0,5,4,0,1
Mustafa (L),127.4448,127.4748,m,127.0605562,127.4748,ئالىم,126.4048,128.3002,ئوقۇغۇچى ئالىم بولار,consonant,127.466,127.5,1,2,2,0,1
Mustafa (L),135.6425,135.8225,s,135.4225,135.9055,كەلسۇن,134.9925,135.9055,چوڭدىن كەلسۇن,consonant,135.666,135.7,1,2,2,1,1
Mustafa (L),182.0475,190.999,,182.0475,190.999,,182.0475,189.5580787,,consonant,189.8,189.833,,,,,
Mustafa (L),191.239,191.269,i,190.999,191.269,دۇنيادىكى,190.9984257,192.9805495,دۇنيادىكى ئەڭ داڭلىق ئۇنىۋېرسىتېتنىڭ بىرسى دەڭە بۇ,vowel,191.266,191.3,,,,,
Elise (C),12.1586,12.22282811,n,11.8986,12.63273223,ئۆگەنسە,10.6086,14.6849,شۇ مەن دەيمەن ئۇيغۇر تىلىنى ئۆگەنسە باشقا تىللارغىمۇ يول ئېچىلىدۇ,consonant,12.166,12.2,0,3,2,,
Elise (C),13.4086,13.45268137,t,13.4086,13.8086,تىللارغىمۇ,10.6086,14.6849,شۇ مەن دەيمەن ئۇيغۇر تىلىنى ئۆگەنسە باشقا تىللارغىمۇ يول ئېچىلىدۇ,consonant,13.433,13.466,0,4,1,,
Elise (C),15.9466,16.0066,i,15.33662116,16.3666,ئۆزبېكچىنىمۇ,14.9866,17.46276827,مەسىلەن ئۆزبېكچىنىمۇ چۈشىنىش ئاسان,vowel,15.966,16,0,5,4,,
Elise (C),17.9597,18.0697,a,17.7097,18.17899698,قازاق,17.7097,18.89290416,قازاق قىرغىز,vowel,18,18.033,1,2,2,,
Elise (C),18.43446872,18.5283773,r,18.17899698,18.89260217,قىرغىز,17.7097,18.89290416,قازاق قىرغىز,consonant,18.5,18.566,0,2,1,,
Elise (C),19.6939,19.7639,m,19.34507325,20.11956662,تۈركمەن,19.3439,20.82385563,تۈركمەن تۈرك,consonant,19.733,19.766,1,2,1,,
Elise (C),20.3139,20.49814726,y,20.11956662,20.82430287,تۈرك,19.3439,20.82385563,تۈركمەن تۈرك,vowel,20.4,20.433,1,1,1,,
Elise (C),21.3984,21.44142893,p,21.3984,21.7584,پىرسەنت,21.0884,24.5922,ئەمدى يۈز پىرسەنت چۈشەنمىسىمۇ لېكىن چۈشىنەلەيدۇ,consonant,21.4,21.433,0,2,1,,
Elise (C),21.8284,21.8984,ʃ,21.7584,22.5384,چۈشەنمىسىمۇ,21.0884,24.5922,ئەمدى يۈز پىرسەنت چۈشەنمىسىمۇ لېكىن چۈشىنەلەيدۇ,consonant,21.833,21.866,0,5,,,
Elise (C),23.5084,23.6284,n,23.2684,23.6284,لېكىن,21.0884,24.5922,ئەمدى يۈز پىرسەنت چۈشەنمىسىمۇ لېكىن چۈشىنەلەيدۇ,consonant,23.6,23.633,1,2,,,
Elise (C),42.6258,42.6658,l,42.2958,43.1058,چۈشىنەلەيسىز,41.7458,44.40610167,ھەئە چۈشىنەلەيسىز يەنى قازاقچىنى چۈشىنەلەيسىز,consonant,42.633,42.666,0,5,,,
Elise (C),43.4958,43.5758,z,43.3858,43.8458,قازاقچىنى,41.7458,44.40610167,ھەئە چۈشىنەلەيسىز يەنى قازاقچىنى چۈشىنەلەيسىز,consonant,43.5,43.533,0,3,,,
Elise (C),43.7558,43.7858,i,43.3858,43.8458,قازاقچىنى,41.7458,44.40610167,ھەئە چۈشىنەلەيسىز يەنى قازاقچىنى چۈشىنەلەيسىز,vowel,43.766,43.8,1,3,,,
Elise (C),50.0329,50.1029,t,49.7129,50.30499244,قازاقىستانغا,49.3929,53.0937,شۇ قازاقىستانغا بارغاندا ئۇلار سىزگە رۇسچە سۆزلىدىمۇ,consonant,50.066,50.1,0,5,,,
Elise (C),51.41853628,51.90408789,,51.41853628,51.90408789,???,49.3929,53.0937,شۇ قازاقىستانغا بارغاندا ئۇلار سىزگە رۇسچە سۆزلىدىمۇ,consonant,51.666,51.7,,,,,
Elise (C),52.4829,52.5329,t͡ʃ,52.3429,52.5829,رۇسچە,49.3929,53.0937,شۇ قازاقىستانغا بارغاندا ئۇلار سىزگە رۇسچە سۆزلىدىمۇ,consonant,52.5,52.533,1,2,,,
Elise (C),53.0937,60.3035,,53.0937,60.3035,,53.0937,54.0875,,consonant,59.166,59.2,,,,,
Elise (C),61.14460213,61.2435,a,61.14460213,62.06608057,ئامېرىكىلىق,60.3035,64.6401,كېيىن سىز مەن ئامېرىكىلىق دەپ ئۇيغۇرچە سۆزلىسىڭىز ئۇلار ھەيران قالغاندۇ,vowel,61.233,61.266,0,5,,,
Elise (C),62.4035,62.4835,j,62.3735,62.6635,ئۇيغۇرچە,60.3035,64.6401,كېيىن سىز مەن ئامېرىكىلىق دەپ ئۇيغۇرچە سۆزلىسىڭىز ئۇلار ھەيران قالغاندۇ,consonant,62.466,62.5,0,3,,,
Elise (C),63.3935,63.5135,ɛ,63.3335,63.7035,ھەيران,60.3035,64.6401,كېيىن سىز مەن ئامېرىكىلىق دەپ ئۇيغۇرچە سۆزلىسىڭىز ئۇلار ھەيران قالغاندۇ,consonant,63.466,63.5,1,2,,,
Elise (C),121.567,121.687,i,121.107,121.747,ئوقۇتقۇچىمۇ,120.477,121.7473571,ھەم زالىم ئوقۇتقۇچىمۇ,vowel,121.666,121.7,0,5,,,
Elise (C),125.1211,125.4411,a,125.0911,125.5811,زالىم,125.0911,126.4048,زالىم بولسا,vowel,125.333,125.366,0,2,,,
Elise (C),125.5511,125.5811,m,125.0911,125.5811,زالىم,125.0911,126.4048,زالىم بولسا,consonant,125.566,125.6,1,2,,,
Elise (C),129.1251,129.2051,t,128.9751,129.5251,ئوقۇتقۇچىمۇ,128.4325653,131.1867,زالىم ئوقۇتقۇچىمۇ لازىم ھە شۇنى ئۇنتۇپ قالماڭلار,consonant,129.2,129.233,0,5,,,
Elise (C),129.3951,129.4451,m,128.9751,129.5251,ئوقۇتقۇچىمۇ,128.4325653,131.1867,زالىم ئوقۇتقۇچىمۇ لازىم ھە شۇنى ئۇنتۇپ قالماڭلار,consonant,129.4,129.433,1,5,,,
Elise (C),129.5551,129.7151,a,129.5251,129.9351,لازىم,128.4325653,131.1867,زالىم ئوقۇتقۇچىمۇ لازىم ھە شۇنى ئۇنتۇپ قالماڭلار,vowel,129.6,129.633,0,2,,,
