Column1,Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl,dict_stress,has_suffix
0,Mustafa,3.321820112,3.369066056,l,3.217485322,3.424575945,tili,2.8187,7.8175,uyghur tili güzel ??? bir til nahayiti mol bay bir til,consonant,3.367,3.401,1,2,2,1,0,1,1
1,Mustafa,3.732642501,3.822814437,y,3.697202274,4.063009402,güzel,2.8187,7.8175,uyghur tili güzel ??? bir til nahayiti mol bay bir til,vowel,3.734,3.767,0,2,1,0,0,?,0
2,Mustafa,5.3987,5.497589715,o,5.2387,5.7487,mol,2.8187,7.8175,uyghur tili güzel ??? bir til nahayiti mol bay bir til,vowel,5.4,5.434,1,1,1,0,1,1,1
3,Mustafa,7.0587,7.1587,a,7.0087,7.252988252,bay,2.8187,7.8175,uyghur tili güzel ??? bir til nahayiti mol bay bir til,vowel,7.067,7.101,1,1,1,0,1,1,1
4,Mustafa,93.752,93.782,r,93.612,93.912,azraq,92.39264521,95.82959789,emdi girammatikisi belki azraq tes bir til bolishi mumkin mumkin,consonant,93.767,93.8,1,2,1,1,1,2,0
5,Mustafa,100.3353,100.5713074,ŋ,99.9653,100.5713074,qarang,99.58587283,104.7452884,lékin qarang siz öydin chiqtingiz ma hazir mana shu resmiy özingizning ana tilidek sözleysizde,consonant,100.534,100.567,1,2,2,0,1,1,1
6,Mustafa,100.8953,100.9453,d,100.8353,101.0853,öydin,99.58587283,104.7452884,lékin qarang siz öydin chiqtingiz ma hazir mana shu resmiy özingizning ana tilidek sözleysizde,consonant,100.934,100.967,1,2,2,1,1,1,1
7,Mustafa,101.7253,101.8153,a,101.6853,101.9553,hazir,99.58587283,104.7452884,lékin qarang siz öydin chiqtingiz ma hazir mana shu resmiy özingizning ana tilidek sözleysizde,vowel,101.734,101.767,0,2,1,0,0,2,0
8,Mustafa,102.3553,102.3953,r,102.3553,102.7453,resmiy,99.58587283,104.7452884,lékin qarang siz öydin chiqtingiz ma hazir mana shu resmiy özingizning ana tilidek sözleysizde,consonant,102.367,102.4,0,2,1,1,1,?,0
9,Mustafa,102.4753,102.6553,s,102.3553,102.7453,resmiy,99.58587283,104.7452884,lékin qarang siz öydin chiqtingiz ma hazir mana shu resmiy özingizning ana tilidek sözleysizde,consonant,102.634,102.667,0,2,1,0,1,?,0
10,Mustafa,103.1353,103.2053,z,103.0553,103.4653,özingizning,99.58587283,104.7452884,lékin qarang siz öydin chiqtingiz ma hazir mana shu resmiy özingizning ana tilidek sözleysizde,consonant,103.167,103.201,0,4,2,1,1,1,1
11,Mustafa,106.2159,106.2859,i,106.1859,106.9259,tirishsila,105.3258037,109.9621,eger adem démek tirishsila emdi elwette uningghimu til dégen'ge bir talant kétidu,vowel,106.266,106.3,0,4,1,0,0,2,1
12,Mustafa,107.7859,107.8159,w,107.6659,107.9859,elwette,105.3258037,109.9621,eger adem démek tirishsila emdi elwette uningghimu til dégen'ge bir talant kétidu,consonant,107.8,107.833,0,3,2,1,1,2,0
13,Mustafa,108.2959,108.3759,t,108.2959,108.4459,til,105.3258037,109.9621,eger adem démek tirishsila emdi elwette uningghimu til dégen'ge bir talant kétidu,consonant,108.3,108.333,1,1,1,1,1,1,0
14,Mustafa,110.9721,111.0021,i,110.9121,111.0721,bir,110.1321,113.0721901,u talantmu muhim bir nerse andin tirishchanliqmu bek muhim,vowel,111,111.033,1,1,1,0,1,1,0
15,Mustafa,111.7921,112.0521,,111.7921,112.0521,,110.1321,113.0721901,u talantmu muhim bir nerse andin tirishchanliqmu bek muhim,consonant,112.033,112.066,,,,,,,
16,Mustafa,113.0721,117.053,,113.0721,117.053,,110.1321,113.0721901,u talantmu muhim bir nerse andin tirishchanliqmu bek muhim,consonant,116.566,116.6,,,,,,,
17,Mustafa,113.0721,117.053,,113.0721,117.053,,110.1321,113.0721901,u talantmu muhim bir nerse andin tirishchanliqmu bek muhim,consonant,116.733,116.766,,,,,,,
18,Mustafa,113.0721,117.053,,113.0721,117.053,,110.1321,113.0721901,u talantmu muhim bir nerse andin tirishchanliqmu bek muhim,consonant,117,117.033,,,,,,,
19,Mustafa,117.053,117.193,t͡ʃ,117.053,117.413,choqum,117.053,118.7030465,choqum öginimenghu dep he,consonant,117.166,117.2,0,2,1,1,0,2,0
